Decade	RhymedNwords	RhymedNsyl	UPoS	LineText	Author
1820s	1	3	NOUN	Младѐнец сла̀бымѝ рука̀ми	Л. А. Якубович
1820s	1	3	NOUN	Нѐ манѝ меня̀, надѐжда,	В. К. Кюхельбекер
1820s	1	3	NOUN	Так у̀томлѐнный сѝбарѝт	П. И. Шаликов
1820s	1	3	NOUN	Я зрѐл ничто̀жества̀ ужа̀сный ѝдеа̀л	В. Н. Щастный
1820s	1	3	VERB	Благо̀дарю̀ судьбу̀, что гра̀мотѐ умѐю!	Н. М. Карамзин
1820s	1	3	VERB	Вы мнѐ давно̀ колпа̀к связа̀ли;	В. С. Филимонов
1820s	1	3	VERB	Для сла̀вы ты̀ здоро̀вья нѐ жалѐешь,	П. А. Вяземский
1820s	1	3	VERB	Ѐсть пусты̀ня, в нѐй таѝтся	А. П. Крюков
1820s	1	3	VERB	О мѝлый дру̀г, ты на̀конѐц узна̀ла	Д. П. Ознобишин
1820s	1	3	VERB	О сча̀стиѝ с младѐнчества̀ тоску̀я,	Е. А. Баратынский
1820s	1	3	VERB	Пусть злы̀е лю̀ди венѐц сплета̀ют,	П. С. Бобрищев-Пушкин
1820s	1	3	VERB	Света̀ет! ... А̀х! как ско̀ро но̀чь мину̀ла!	А. С. Грибоедов
1820s	1	4	ADJ	Друзья̀! на что̀ смуща̀ть ещѐ прах нѐосты̀лый	С. Н. Глинка
1820s	1	4	ADJ	Певѐц гремя̀щий, нѐзабвѐнный,	Н. М. Шатров
1820s	1	4	DET	Попа̀лась мы̀шь! Умрѝ -- спасѐнья нѝкако̀го!	А. Ф. Воейков
1820s	1	4	NOUN	Гонѝмый гро̀зным прѝгово̀ром,	М. Д. Деларю
1820s	1	4	NOUN	Дубра̀вы пы̀шныѐ, где ва̀ше о̀дея̀нье?	Н. И. Гнедич
1820s	1	4	NOUN	Мглѝстое нѐбо слило̀сь с Океа̀ном,	П. Г. Ободовский
1820s	1	4	NOUN	Наску̀чив мѝрной тѝшино̀ю,	К. Ф. Рылеев
1820s	1	4	NOUN	Послѐдний со̀лнца лу̀ч пога̀с за А̀пеннѝном;	П. А. Габбе
1820s	1	4	NOUN	Ру̀сский ѝмпера̀тор	В. И. Соколовский
1820s	1	4	NOUN	Хвала̀ вам, смѐлыѐ певцы̀ и стѝходѐи.	В. Л. Пушкин
1820s	1	4	VERB	Бы̀ло врѐмя, про̀цвета̀ла	А. С. Пушкин
1820s	1	4	VERB	Лѝстья в по̀ле по̀желтѐли,	М. Ю. Лермонтов
1820s	1	4	VERB	Свеча̀, чуть тѐплясь, до̀гора̀ла,	Ф. Н. Глинка
1820s	1	5	NOUN	Бы̀стро фло̀т Ага̀мемно̀на,	М. П. Загорский
1820s	1	5	NOUN	Забу̀ду лѝ тебя̀, страна̀ оча̀рова̀ний!	Е. П. Зайцевский
1820s	1	5	NOUN	Пусть бу̀дет то̀т космо̀полѝтом,	Д. Ю. Струйский (Трилунный)
1920s	1	1	ADJ	Моѝм дыха̀ньем мѝр мой жѝв.	А. Скрябина
1920s	1	1	ADP	Ра̀з шахтѐры ша̀хты блѝз	В. В. Маяковский
1920s	1	1	NOUN	Багро̀вый мѐд гречу̀х и рѝзы сѝних ржѐй, --	Е. И. Титов
1920s	1	1	NOUN	Была̀ распу̀тица̀ и гря̀зь,	Н. Н. Ушаков
1920s	1	1	NOUN	Вдыха̀я ро̀сторо̀пь и гнѐв	М. И. Комиссарова
1920s	1	1	NOUN	Есть мно̀го днѐй, хоро̀ших днѐй,	Е. А. Панфилов
1920s	1	1	NOUN	Завы̀ли пятнѝстые псы̀.	Дж. Алтаузен
1920s	1	1	NOUN	Заря̀ струѝт по грѐбню го̀р	Л. А. Алексеева
1920s	1	1	NOUN	Как ѝзразцо̀в персѝдских -- сѝнь	В. Ф. Наседкин
1920s	1	1	NOUN	Как ло̀мкие па̀льцы невѝдимых ру̀к,	Н. И. Дементьев
1920s	1	1	NOUN	Кака̀я щемя̀щая вы̀сь.	М. А. Зенкевич
1920s	1	1	NOUN	Какѝе пра̀здничны̀е днѝ --	Е. Ю. Кузьмина-Караваева
1920s	1	1	NOUN	Кирко̀ю ру̀доко̀пный гно̀м	Андрей Белый
1920s	1	1	NOUN	Лесна̀я птѝца, влетѐвшая в су̀мрачный за̀л;	В. Я. Брюсов
1920s	1	1	NOUN	Лома̀ют до̀м ... Повѝс отвѐса гру̀з,	Я. З. Шведов
1920s	1	1	NOUN	Моло̀чной бѐлизно̀ю стѐн	С. А. Швецов
1920s	1	1	NOUN	На̀с заточѝли в ка̀менный склѐп.	А. К. Герцык
1920s	1	1	NOUN	Нет, нѐ повто̀рный ла̀д и нѐ заѐмный кла̀д	И. Н. Голенищев-Кутузов
1920s	1	1	NOUN	Поку̀да ко̀мнатна̀я слѝзь	Н. Г. Полетаев
1920s	1	1	NOUN	Раскѝну ласкѝну из а̀мбара сло̀в	В. В. Каменский
1920s	1	1	NOUN	Сѐрдца ка̀ждый взма̀х	М. М. Мыслинская
1920s	1	1	NOUN	Там ро̀дина̀ моя̀, где во̀сходѝл мой ду̀х,	С. Я. Парнок
1920s	1	1	NOUN	Тѝхо тя̀нет сы̀тый ко̀нь,	И. П. Уткин
1920s	1	1	NOUN	Ты -- ю̀ная̀, ты -- стро̀йная̀, как ѐль,	Л. В. Гроссе
1920s	1	1	NOUN	Ужѐ око̀нчился дѐнь -- и но̀чь	Э. Г. Багрицкий
1920s	1	1	NOUN	У̀тро. Бегу̀ сквозь мглу̀.	В. В. Морковин
1920s	1	1	NOUN	Что за̀медля̀ет ко̀леснѝцы бѐг, --	А. Д. Скалдин
1920s	1	1	NOUN	Что ро̀дина̀? Воспо̀мина̀ний ды̀м.	А. Б. Мариенгоф
1920s	1	1	NOUN	Я̀ люблю̀ зелѐный цвѐт,	Вс. А. Рождественский
1920s	1	1	NOUN	Я сплю̀, но в бѐзмятѐжном снѐ	Д. Н. Семеновский
1920s	1	1	PART	С полу̀дня па̀рило̀. И во̀т	П. Г. Антокольский
1920s	1	1	PRON	-- О, свѐтлый ю̀ноша̀, мой вра̀г прекра̀сный, я̀,	А. А. Кондратьев
